sap,desc,familia,usd,costo,precio,marca
"095657258-0000","30219-A>A","Cónicos","122.556765","1562.6","3125.2","FAG"
"016710703-0000","30220-A","Cónicos","156.664845","1997.48","3994.95","FAG"
"016710720-0000","30221-A","Cónicos","173.846535","2216.54","4433.09","FAG"
"016710738-0000","30222-A","Cónicos","219.92818499999998","2804.08","5608.17","FAG"
"093227825-0000","30222-XL","Cónicos","219.92818499999998","2804.08","5608.17","FAG"
"016710746-0000","30224-A","Cónicos","316.34223000000003","4033.36","8066.73","FAG"
"084719133-0000","30224-XL","Cónicos","316.34223000000003","4033.36","8066.73","FAG"
"016710754-0000","30226-A","Cónicos","414.41572499999995","5283.8","10567.6","FAG"
"078465850-0000","30226-XL","Cónicos","414.41572499999995","5283.8","10567.6","FAG"
"016710762-0000","30228-A","Cónicos","564.9278400000001","7202.83","14405.66","FAG"
"078368502-0000","30228-XL","Cónicos","564.9278400000001","7202.83","14405.66","FAG"
"016710800-0000","30302-A","Cónicos","13.888320000000004","177.08","354.15","FAG"
"016710827-0000","30303-A","Cónicos","14.8074","188.79","377.59","FAG"
"016710843-0000","30304-A","Cónicos","15.305235","195.14","390.28","FAG"
"016710851-0000","30305-A","Cónicos","15.790304999999998","201.33","402.65","FAG"
"054441285-0000","30305-DY","Cónicos","15.790304999999998","201.33","402.65","FAG"
"016710878-0000","30306-A","Cónicos","18.91773","241.2","482.4","FAG"
"095642048-0000","30306-A>A","Cónicos","18.91773","241.2","482.4","FAG"
"039226360-0000","30306-DY","Cónicos","18.91773","241.2","482.4","FAG"
"016710894-0000","30307-A","Cónicos","24.802395","316.23","632.46","FAG"
"094633444-0000","30307-A>A","Cónicos","24.802395","316.23","632.46","FAG"
"054441781-0000","30307-DZ","Cónicos","24.802395","316.23","632.46","FAG"
"016710916-0000","30308-A","Cónicos","30.96789","394.84","789.68","FAG"
"054441919-0000","30308-DY","Cónicos","30.96789","394.84","789.68","FAG"
"016710924-0000","30309-A","Cónicos","38.60136","492.17","984.33","FAG"
"095640088-0000","30309-A>A","Cónicos","38.60136","492.17","984.33","FAG"
"039226379-0000","30309-DY","Cónicos","38.60136","492.17","984.33","FAG"
"016710932-0000","30310-A","Cónicos","47.549625","606.26","1212.52","FAG"
"093492570-0000","30310-XL","Cónicos","47.549625","606.26","1212.52","FAG"
"016710940-0000","30311-A","Cónicos","57.62121","734.67","1469.34","FAG"
"054442826-0000","30311-DY","Cónicos","57.62121","734.67","1469.34","FAG"
"088354377-0000","30311-XL","Cónicos","57.62121","734.67","1469.34","FAG"
"016710959-0000","30312-A","Cónicos","65.63763","836.88","1673.76","FAG"
"016710967-0000","30313-A","Cónicos","82.48743","1051.71","2103.43","FAG"
"095657231-0000","30313-A>A","Cónicos","82.48743","1051.71","2103.43","FAG"
"016710975-0000","30314-A","Cónicos","109.97047500000001","1402.12","2804.25","FAG"
